customer_id,region,age,purchase_frequency,avg_order_value,discount_usage_rate,last_purchase_days,total_spend,churn_flag
1,East,57,7,1918.2708272755733,0.5510000476902825,25,13427.895790929013,0
2,West,24,7,1816.8763538332405,0.14061430507317085,327,12718.134476832684,1
3,North,49,2,2461.199374545798,0.8421969628946171,306,4922.398749091596,1
4,East,36,6,2092.4065872706788,0.10689024807060676,328,12554.439523624073,1
5,East,23,8,1188.4230092675264,0.09442903149282744,36,9507.384074140211,0
6,West,37,4,1600.2541166722974,0.9335583772501092,102,6401.01646668919,0
7,North,44,6,1169.4582474618207,0.8734729196593636,131,7016.749484770924,0
8,North,54,6,1910.407334217767,0.5748748186677436,78,11462.444005306601,0
9,East,24,1,1335.9416621231571,0.10615390648027678,27,1335.9416621231571,0
10,South,22,7,1119.4467974381164,0.545986123721127,346,7836.127582066814,1
11,East,28,6,972.377056970819,0.9205426536235951,7,5834.262341824914,0
12,East,32,5,2992.2011450220994,0.6123548956587215,44,14961.005725110497,0
13,East,20,3,1317.31674087851,0.19823812891916415,72,3951.95022263553,0
14,East,22,7,1842.1711980530504,0.9058307411628352,104,12895.198386371352,0
15,West,40,4,2029.7395417749847,0.8654562620556726,315,8118.958167099939,1
16,North,54,2,2059.522059372375,0.5465874231140493,180,4119.04411874475,0
17,West,26,7,2310.4460824986186,0.8522432785739055,132,16173.12257749033,0
18,West,32,5,1974.4960664524026,0.05636211112242284,243,9872.480332262014,1
19,West,20,8,1773.2001041442466,0.4611812401194243,130,14185.600833153972,0
20,East,46,7,2109.871530879537,0.17808912576926894,244,14769.100716156761,1
21,South,23,5,2104.715384263014,0.8375409946652784,245,10523.57692131507,1
22,North,34,4,2025.3543644727856,0.9711912495574059,213,8101.4174578911425,1
23,South,43,3,2320.4454651580945,0.9306993203844364,228,6961.336395474284,1
24,West,38,9,1687.1314182549036,0.5033484520207936,212,15184.182764294132,1
25,West,25,4,1899.6016277450915,0.5109972044491007,158,7598.406510980366,0
26,South,38,8,1337.0904309368234,0.9082286595484795,363,10696.723447494587,1
27,South,28,4,1877.533257415504,0.721746689030977,130,7510.133029662016,0
28,South,55,2,1680.9255974768041,0.07460518095112323,335,3361.8511949536082,1
29,West,25,2,2527.679512940085,0.12834027161987638,104,5055.35902588017,0
30,West,59,5,1268.7718007706,0.9517224646801493,322,6343.859003853,1
31,North,41,8,1762.3866347859614,0.36588941061846625,217,14099.093078287691,1
32,North,52,5,1737.9135038900956,0.18735955954908834,93,8689.567519450478,0
33,West,31,6,2335.4034630886003,0.7355348394694303,321,14012.420778531603,1
34,South,31,3,1361.8112450743067,0.8796883284969709,281,4085.4337352229204,1
35,South,27,5,2001.8604910837648,0.20655484522221934,234,10009.302455418823,1
36,North,29,8,2039.326693937599,0.25143604177145573,281,16314.613551500792,1
37,West,55,4,2461.8392812439315,0.8999409051257259,48,9847.357124975726,0
38,North,51,5,1572.5528758233795,0.013171297369052426,11,7862.7643791168975,0
39,North,58,1,1346.2990618696508,0.9079502335226096,237,1346.2990618696508,1
40,East,27,5,2237.5241732604577,0.03926226211830963,19,11187.620866302288,0
41,East,34,6,1302.5925325061758,0.09540309252031764,233,7815.555195037055,1
42,East,34,3,1738.630458876353,0.862275356081868,274,5215.891376629059,1
43,South,20,6,1880.6903717154537,0.24841972658767042,242,11284.142230292722,1
44,West,48,5,2307.872179179566,0.22469493931202977,7,11539.36089589783,0
45,West,18,5,1229.1216411272508,0.8441285299444791,343,6145.608205636254,1
46,West,29,6,1851.9437837552896,0.5421936792006367,4,11111.662702531738,0
47,West,56,6,2013.0214046995636,0.350619005599466,149,12078.128428197382,0
48,East,21,7,1569.4841760281624,0.7142322164460645,128,10986.389232197136,0
49,South,59,6,1821.1907228385653,0.8097456969129726,41,10927.144337031392,0
50,South,30,5,2444.524500801469,0.8627686345075884,77,12222.622504007344,0
51,East,51,6,1746.4622351577368,0.11935198500978972,219,10478.773410946422,1
52,South,59,6,1818.0252472066015,0.582545002815486,146,10908.15148323961,0
53,East,38,5,2442.804633019233,0.6782189803110158,283,12214.023165096165,1
54,West,39,10,1890.94462809902,0.11647437901236768,174,18909.4462809902,0
55,East,21,4,2669.1702639633654,0.6101256759396899,302,10676.681055853462,1
56,West,35,8,1180.8064072114248,0.03193841413217258,85,9446.451257691398,0
57,West,22,6,1863.3070677070953,0.34157074395849096,45,11179.842406242571,0
58,North,36,4,2388.1454609924435,0.17201598838108967,43,9552.581843969774,0
59,East,19,5,1640.3293475806936,0.5612064918540748,208,8201.646737903468,1
60,North,29,4,1882.8112274224263,0.19109281639048492,50,7531.244909689705,0
61,East,34,6,2631.654238378351,0.789144020814126,336,15789.925430270105,1
62,East,27,2,1612.6565103435385,0.1211460935841846,231,3225.313020687077,1
63,North,51,2,2241.2986015902316,0.7578290115674196,277,4482.597203180463,1
64,North,23,9,2373.326126760735,0.09890868349586324,128,21359.935140846614,0
65,East,25,1,2038.317872963067,0.4423939696037861,289,2038.317872963067,1
66,South,28,3,2020.006342006887,0.698534262517122,220,6060.019026020661,1
67,West,29,4,1487.542090705364,0.16146800694475016,30,5950.168362821456,0
68,North,26,3,2365.518683498127,0.7523440263591392,197,7096.5560504943805,0
69,West,19,2,1372.832562368871,0.9534112030118918,33,2745.665124737742,0
70,South,25,6,2195.6192090494624,0.3734012942719712,75,13173.715254296774,0
71,South,28,2,1740.7992299982302,0.00018030276088087938,249,3481.5984599964604,1
72,South,53,7,1802.6283629981542,0.47682960191179724,328,12618.39854098708,1
73,North,27,10,1899.365128167502,0.902441115826701,95,18993.65128167502,0
74,South,38,1,2249.748515715246,0.6650059697858924,213,2249.748515715246,1
75,North,37,2,2780.971216214177,0.7032861009654727,89,5561.942432428354,0
76,South,25,4,2055.667287346473,0.7924668341769847,146,8222.669149385893,0
77,West,53,4,1639.985190862738,0.908203704554204,285,6559.940763450952,1
78,West,46,8,1280.222874183466,0.12480398304683327,206,10241.782993467728,1
79,East,59,6,2579.9727750431575,0.5902095342892003,333,15479.836650258945,1
80,West,29,2,2087.6869117389756,0.8897321037252662,275,4175.373823477951,1
81,East,31,6,1884.1932526005135,0.7758890540771561,84,11305.159515603082,0
82,West,38,8,2029.257679967039,0.2489418421152283,258,16234.061439736312,1
83,North,39,8,2383.33169588115,0.874606351013425,268,19066.6535670492,1
84,West,38,2,1794.9642781747582,0.29410348165316225,330,3589.9285563495164,1
85,East,47,5,1666.9935277720947,0.4108863736185189,292,8334.967638860473,1
86,East,56,4,1345.032020021281,0.18564026014275348,357,5380.128080085124,1
87,South,37,3,1460.3901336814872,0.8852266510924798,274,4381.170401044462,1
88,North,41,8,1827.6213114536286,0.09301454991468472,269,14620.970491629028,1
89,West,40,3,2537.3373146290337,0.9941088870662766,60,7612.011943887101,0
90,South,24,7,1745.7582783184978,0.3286805086928568,335,12220.307948229485,1
91,West,26,2,2130.295641911414,0.7108087665125455,179,4260.591283822828,0
92,West,18,1,2562.259462583522,0.12872629159650795,101,2562.259462583522,0
93,South,43,5,2190.8818385371187,0.4878630378984047,67,10954.409192685594,0
94,South,55,4,2986.852082559447,0.040132006835080114,279,11947.408330237788,1
95,South,55,4,2033.8752643758514,0.8783995479539928,132,8135.501057503406,0
96,South,39,4,1921.5095313649656,0.446429350053713,236,7686.038125459862,1
97,South,27,3,1809.157255682291,0.7427540494951265,126,5427.471767046873,0
98,West,23,0,2996.1625676449084,0.8945145543212668,25,0.0,0
99,South,34,2,2609.7247524752815,0.06859526768392299,189,5219.449504950563,0
100,North,55,3,1270.3155413072727,0.5114411749518679,69,3810.946623921818,0
101,East,41,4,3055.044186023637,0.18954111515628902,47,12220.176744094548,0
102,South,27,2,2248.9902242629505,0.06900702509256773,283,4497.980448525901,1
103,South,25,6,2064.5228265461797,0.6220331107178105,125,12387.136959277079,0
104,West,38,5,2259.137898132532,0.11409679151635765,190,11295.68949066266,0
105,South,23,1,1520.6060760998146,0.4919351256644654,71,1520.6060760998146,0
106,South,38,8,2098.447106461007,0.19691844614339915,49,16787.576851688056,0
107,South,56,6,1845.6509669410823,0.19772137598255235,317,11073.905801646493,1
108,West,41,1,1819.8281415429649,0.5229942744650167,344,1819.8281415429649,1
109,South,50,9,2479.4331412660963,0.555389677794385,343,22314.898271394868,1
110,East,35,3,1867.7658280319633,0.003479315147046025,287,5603.2974840958905,1
111,West,45,9,2049.8199436343307,0.5007692612697859,348,18448.379492708977,1
112,East,49,4,2163.869785395509,0.6697502647704777,193,8655.479141582036,0
113,West,29,3,2471.8032986546777,0.6785117736674766,267,7415.409895964033,1
114,South,59,7,2634.012379276762,0.8498801239919467,243,18438.086654937335,1
115,East,44,5,2007.4115813346161,0.8953004101629161,294,10037.05790667308,1
116,West,27,6,1810.8628384765939,0.6228614549332709,352,10865.177030859562,1
117,North,59,3,2951.897717332665,0.4818320179804212,255,8855.693151997995,1
118,South,49,7,709.8394895882743,0.2041066117036543,255,4968.876427117921,1
119,West,59,5,2433.6945425507442,0.12676124373105713,93,12168.47271275372,0
120,North,43,8,1927.9735702584044,0.6090996669829916,351,15423.788562067235,1
121,West,42,7,2285.2525556186024,0.9465831262936122,59,15996.767889330216,0
122,North,28,3,2020.4168686428645,0.2782149105241507,147,6061.250605928593,0
123,South,40,5,2640.742063439279,0.09945334568178132,265,13203.710317196394,1
124,East,51,9,2209.5621234197642,0.42386153002250937,96,19886.05911077788,0
125,North,57,5,1289.525756127593,0.0004825826976515568,351,6447.628780637965,1
126,West,40,6,1267.016649327851,0.5535745157902863,197,7602.099895967105,0
127,South,46,4,1892.477214419219,0.04947928976546512,279,7569.908857676876,1
128,North,48,6,2303.815808974804,0.9309656030964439,183,13822.894853848824,0
129,West,24,6,2653.603962365174,0.8699329920340093,85,15921.623774191045,0
130,West,57,5,1665.2949112472236,0.11490165987780143,276,8326.474556236119,1
131,West,50,6,894.30832537217,0.14689653416144455,141,5365.84995223302,0
132,North,38,4,2215.540492388837,0.9534474879229035,57,8862.161969555347,0
133,North,19,4,2021.1811890540932,0.8135526897143451,175,8084.724756216373,0
134,North,35,7,2071.614714717787,0.9420245551467247,205,14501.30300302451,1
135,East,50,7,1449.396267850708,0.33450142063113486,162,10145.773874954955,0
136,North,54,5,2596.396690925945,0.11095722948722209,116,12981.983454629726,0
137,North,51,3,1591.8438376274987,0.6153868679799862,181,4775.531512882496,0
138,North,37,3,2154.0267137351866,0.9667051875876925,337,6462.08014120556,1
139,East,52,3,2137.8461914189074,0.12996359675475433,63,6413.538574256722,0
140,North,35,2,2274.9413521151864,0.8188947617783537,158,4549.882704230373,0
141,West,41,6,1627.6973025630377,0.35961288714146555,196,9766.183815378226,0
142,North,25,3,1538.3181479535842,0.11550833842333919,247,4614.954443860753,1
143,West,47,3,2426.5294697473914,0.45903721676919806,4,7279.588409242175,0
144,West,27,11,2276.317401877145,0.48873338490485263,165,25039.491420648596,0
145,West,40,4,2167.533824128236,0.009083428343416355,39,8670.135296512944,0
146,East,28,10,2562.8783086981884,0.47445000410988636,36,25628.783086981886,0
147,East,19,8,2170.8487186218817,0.6474780789609509,143,17366.789748975054,0
148,East,43,3,1814.9790626177837,0.7646616454659948,331,5444.937187853351,1
149,North,53,7,2258.994694694811,0.09855746448404612,164,15812.962862863678,0
150,West,50,5,2225.2345848711693,0.876537808528342,352,11126.172924355847,1
151,East,30,3,2237.777510816825,0.16774588875054863,275,6713.332532450475,1
152,East,57,5,1558.4679470920328,0.6582870106585165,16,7792.339735460164,0
153,North,42,6,1510.46670913568,0.5526325005934484,330,9062.80025481408,1
154,East,21,5,2440.079864684985,0.880008597397234,235,12200.399323424925,1
155,North,59,5,1925.7996221066044,0.0386452333873063,235,9628.998110533023,1
156,South,36,2,1028.401216157072,0.1915626260697798,248,2056.802432314144,1
157,East,35,6,1314.3203308075583,0.121965760715122,240,7885.92198484535,1
158,South,54,5,1340.737154365927,0.3275511832881832,109,6703.685771829634,0
159,North,47,4,2533.6623745416955,0.33884847175631083,122,10134.649498166782,0
160,West,36,7,1975.8114703580045,0.08861246365397657,115,13830.680292506031,0
161,East,40,5,2017.6776479497487,0.514324956075059,212,10088.388239748743,1
162,North,33,6,1823.3751455371512,0.11624314430347549,270,10940.250873222907,1
163,West,18,6,1470.6145848481615,0.07435029716896824,244,8823.68750908897,1
164,West,29,6,2379.8987701990964,0.033172131964563034,252,14279.392621194578,1
165,South,41,3,2326.163701144733,0.9291418960275175,232,6978.4911034341985,1
166,North,51,5,1647.7463932227429,0.3967387790879301,134,8238.731966113715,0
167,West,25,4,2701.0282619273903,0.283686328603897,147,10804.113047709561,0
168,East,35,8,2372.464495457403,0.4822740392108886,245,18979.715963659222,1
169,East,22,3,1573.0825015688729,0.1576909804767046,107,4719.247504706618,0
170,South,43,2,1856.3456838341797,0.40615762437268377,262,3712.6913676683594,1
171,West,47,1,1816.0200347316936,0.19054564030621512,235,1816.0200347316936,1
172,North,30,7,2156.1966930028284,0.304392760001557,5,15093.376851019799,0
173,East,36,3,1285.683192619042,0.9242158179645145,194,3857.049577857126,0
174,West,46,2,1647.4770070882735,0.14869903819728458,48,3294.954014176547,0
175,West,20,4,2397.1987522804156,0.47384488149769155,198,9588.795009121663,0
176,South,43,6,1206.5702834339622,0.6608591859562886,142,7239.421700603773,0
177,East,57,2,1901.1268080393752,0.9179971898573649,78,3802.2536160787504,0
178,East,29,7,1386.865706074385,0.9230108371392156,350,9708.059942520695,1
179,North,19,4,2456.601521086397,0.2472588768357451,301,9826.406084345588,1
180,East,28,10,2171.653740550836,0.9431547408962924,168,21716.53740550836,0
181,North,45,8,1266.1487282985663,0.3313893469173298,216,10129.18982638853,1
182,East,35,6,1478.7889419100902,0.8949213769913016,158,8872.733651460541,0
183,South,30,7,2006.9573108361712,0.09320382859528831,75,14048.701175853199,0
184,East,54,3,846.4910638608435,0.19835053837582162,78,2539.4731915825305,0
185,North,39,4,1449.9341621185843,0.07899763978471763,48,5799.736648474337,0
186,North,29,8,1588.013906403659,0.29902690850116576,238,12704.111251229271,1
187,South,19,5,2642.419189719195,0.8738529710437621,8,13212.095948595976,0
188,East,54,4,1711.6657722478337,0.15926982042395899,177,6846.663088991335,0
189,East,24,4,2329.689506810629,0.22484649454791228,135,9318.758027242517,0
190,South,43,5,1763.5305755609854,0.21618586415283547,255,8817.652877804927,1
191,East,43,5,2372.27110008298,0.27469822906873553,84,11861.3555004149,0
192,East,41,4,1223.8937468900635,0.018680780325331936,64,4895.574987560254,0
193,North,29,3,1638.3633921955743,0.42384745452104167,133,4915.090176586723,0
194,East,33,6,1945.341126957784,0.9762931494608552,177,11672.046761746704,0
195,East,40,8,2088.9184911409598,0.44808474033969004,198,16711.347929127678,0
196,South,57,5,2161.8933954411877,0.8133400718529517,15,10809.466977205939,0
197,South,26,5,2096.352963076323,0.5714295151187733,59,10481.764815381614,0
